,AREA,INT_SQFT,N_BEDROOM,N_BATHROOM,N_ROOM,SALE_COND,PARK_FACIL,UTILITY_AVAIL,STREET,MZZONE,AGE,BUILD_YEAR,SALES_PRICE,BUILDTYPE_Commercial,BUILDTYPE_House,BUILDTYPE_Other
32,7,1721,1,1,4,5,1,1,2,6,20,1992,14874380,0,0,1
33,4,1755,2,1,4,5,1,4,3,1,19,1987,10222380,0,0,1
34,6,1709,1,1,4,2,0,2,3,4,6,2003,12928590,0,0,1
35,5,2114,3,2,5,5,1,2,3,4,21,1989,17564820,1,0,0
36,1,1226,1,1,3,4,0,4,2,1,27,1983,4971250,0,1,0
37,4,1648,2,1,4,2,1,2,2,2,13,1998,9170660,0,0,1
38,3,856,1,1,3,5,1,3,3,6,26,1985,10383420,0,0,1
39,2,904,1,1,3,5,0,1,1,6,40,1969,11601400,1,0,0
40,3,1198,1,1,3,4,0,4,1,4,36,1976,8249260,0,0,1
41,1,931,1,1,3,5,0,4,2,1,18,1993,6944500,1,0,0
42,1,1290,1,1,3,5,1,4,2,4,48,1961,7745000,0,1,0
43,1,507,1,1,2,3,1,1,3,4,46,1964,5728000,0,1,0
44,5,2492,4,2,6,3,0,2,2,5,16,1993,18725520,1,0,0
45,1,851,1,1,2,1,0,4,1,2,29,1982,3572250,0,1,0
46,7,1882,2,1,5,3,1,1,3,6,21,1985,16051580,0,0,1
47,6,1710,1,1,4,4,1,4,3,4,11,1998,20215970,1,0,0
48,1,1412,2,2,4,5,0,1,3,5,28,1982,8379000,0,1,0
49,2,779,1,1,2,4,0,3,1,2,9,1997,5290635,0,1,0
50,7,1655,1,1,4,3,0,4,3,4,34,1980,12548930,0,0,1
51,1,940,1,1,3,5,0,4,2,4,49,1961,5857750,0,1,0
52,5,1667,2,1,4,1,1,2,2,6,5,2007,10729700,0,1,0
53,5,1926,3,2,5,2,1,2,2,6,9,1999,17006780,1,0,0
54,2,718,1,1,2,1,1,1,1,2,30,1977,5570050,0,0,1
55,1,545,1,1,2,1,0,1,1,4,30,1982,3854375,0,0,1
56,1,1249,1,1,3,5,1,1,3,4,36,1973,8594875,0,0,1
57,7,1894,2,1,5,1,1,3,3,5,45,1968,13549250,0,1,0
58,1,1469,2,2,4,3,0,3,1,2,5,2006,9480750,1,0,0
59,2,916,1,1,3,4,1,1,1,1,28,1980,5847520,0,1,0
60,3,934,1,1,3,5,1,2,2,6,22,1986,9710900,0,1,0
61,1,1691,2,2,4,3,0,2,3,6,31,1980,9398750,0,1,0
62,1,1236,1,1,3,4,0,3,2,3,39,1972,8806250,1,0,0
63,7,1577,1,1,4,1,1,2,2,4,36,1971,12087330,0,0,1
64,6,1915,2,1,5,1,1,2,3,4,41,1970,14175620,0,0,1
65,6,1600,1,1,4,2,1,1,3,4,21,1991,11920820,0,1,0
66,4,1579,2,1,4,3,1,1,2,3,24,1987,13364730,1,0,0
67,2,1260,2,2,4,1,0,2,1,1,25,1983,6922975,0,0,1
68,2,1021,1,1,3,4,0,2,2,3,5,2004,11673175,1,0,0
69,5,2174,3,2,5,2,1,4,2,6,23,1988,13069740,0,0,1
70,6,1589,1,1,4,1,0,4,3,5,44,1966,12212350,0,0,1
71,2,668,1,1,2,3,1,2,3,3,5,2005,10283575,1,0,0
72,4,1724,2,1,4,3,1,1,1,5,54,1952,8956480,0,1,0
73,2,890,1,1,3,3,1,3,2,2,30,1981,7187350,0,1,0
74,2,1218,2,2,4,4,0,4,1,3,30,1977,12574850,1,0,0
75,6,1792,1,1,4,2,1,1,3,6,21,1990,13906270,0,1,0
76,1,1378,2,2,4,5,0,3,3,6,9,2003,9917500,0,0,1
77,1,898,1,1,3,1,1,3,2,4,29,1980,8629750,1,0,0
78,6,1928,2,1,5,1,0,4,1,4,10,2001,11667050,0,1,0
79,3,1233,2,1,4,3,0,2,3,6,33,1975,9817150,0,1,0
80,4,1618,2,1,4,5,1,3,2,2,40,1967,9263050,0,0,1
81,1,627,1,1,2,2,0,3,3,6,28,1983,6587500,0,1,0
82,4,1563,2,1,4,2,0,2,3,6,28,1977,9799360,0,1,0
83,1,1693,2,2,4,4,1,3,3,2,6,2003,12801500,1,0,0
84,7,1522,1,1,4,1,0,4,3,5,43,1966,17454510,1,0,0
85,2,1090,1,1,3,1,1,2,3,4,28,1980,9832420,0,0,1
86,3,1085,1,1,3,3,1,3,3,5,6,2008,14363500,1,0,0
87,7,1687,1,1,4,3,0,3,2,4,13,1996,12476770,0,0,1
88,2,692,1,1,2,4,1,4,2,4,37,1971,10381355,1,0,0
89,7,1518,1,1,4,2,1,4,2,4,37,1971,17600240,1,0,0
90,2,1025,1,1,3,1,0,2,2,3,25,1983,10934875,1,0,0
91,5,2170,3,2,5,2,1,3,3,5,8,2002,12372160,0,1,0
92,3,969,1,1,3,2,1,1,1,4,17,1994,11248750,1,0,0
93,5,1546,2,1,4,3,0,4,3,6,27,1981,14241140,1,0,0
94,5,1709,2,1,4,3,1,2,2,5,20,1989,10160600,0,1,0
95,7,1659,1,1,4,5,1,2,1,5,18,1995,13539080,0,0,1
96,3,755,1,1,2,4,0,1,3,6,33,1982,10727750,1,0,0
97,2,1182,1,1,3,4,1,4,1,5,17,1990,9867055,0,1,0
98,2,735,1,1,2,5,0,2,1,4,14,1998,9478710,1,0,0
99,3,1089,1,1,3,4,1,1,2,5,32,1981,9050200,0,1,0
100,4,1534,2,1,4,1,1,1,2,2,53,1952,7904210,0,0,1
101,6,1622,1,1,4,2,1,1,3,5,5,2002,13063450,0,1,0
102,5,2198,3,2,5,1,1,3,3,6,21,1987,13584980,0,0,1
103,3,1293,2,1,4,4,0,1,1,5,39,1975,13116050,1,0,0
104,5,1641,2,1,4,1,0,4,3,5,29,1980,10012600,0,0,1
105,4,1950,3,2,5,5,1,2,2,5,41,1964,12105920,0,0,1
106,1,1245,1,1,3,1,0,2,2,1,28,1983,4918375,0,0,1
107,3,905,1,1,3,2,0,1,3,4,33,1976,7703200,0,0,1
108,5,1496,2,1,4,2,0,3,3,4,14,1998,8569080,0,1,0
109,4,1892,3,2,5,5,1,1,3,6,36,1969,12146620,0,1,0
110,4,1517,2,1,4,2,0,1,2,2,11,1999,11671620,1,0,0
111,2,1034,1,1,3,5,1,1,3,2,16,1993,9256740,0,0,1
112,4,1755,2,1,4,2,1,3,3,3,35,1974,14915900,1,0,0
113,6,1622,1,1,4,5,1,2,2,6,7,2006,13547790,0,1,0
114,3,1092,1,1,3,4,0,4,1,4,4,2009,8213040,0,0,1
115,3,821,1,1,3,5,0,2,2,4,8,2006,7304000,0,1,0
116,5,1694,2,1,4,2,0,2,3,5,11,1997,10390900,0,0,1
117,6,1809,2,1,5,2,0,4,1,5,26,1984,19206870,1,0,0
118,1,1401,2,2,4,1,1,4,3,5,14,1997,9965375,0,0,1
119,1,1470,2,2,4,3,0,3,1,4,25,1986,7207000,0,0,1
120,3,798,1,1,2,1,0,3,2,4,37,1976,9070550,1,0,0
121,3,764,1,1,2,1,0,1,1,4,8,2000,5670200,0,1,0
122,3,1135,1,1,3,3,0,3,1,6,23,1985,9253200,0,0,1
123,1,939,1,1,3,3,0,1,1,3,38,1971,4294000,0,1,0
124,1,1586,2,2,4,4,1,3,3,6,28,1981,14316000,1,0,0
125,7,1973,2,1,5,2,1,4,3,6,35,1972,23307000,1,0,0
126,3,1023,1,1,3,1,1,4,2,6,17,1990,9735150,0,1,0
127,3,884,1,1,3,4,0,3,1,6,4,2006,11336400,1,0,0
128,6,1640,1,1,4,5,0,1,1,4,5,2005,17701600,1,0,0
129,2,622,1,1,2,4,0,1,1,5,20,1987,6572900,0,0,1
130,6,1880,2,1,5,1,1,2,1,6,16,1993,13423020,0,1,0
131,5,2413,4,2,6,3,0,2,2,6,9,2001,13122040,0,0,1
132,7,1649,1,1,4,5,0,4,3,4,25,1984,18939100,1,0,0
133,4,1729,2,1,4,1,1,3,2,1,41,1967,12803570,1,0,0
134,7,1942,2,1,5,2,0,2,3,4,37,1977,12330740,0,1,0
135,3,711,1,1,2,5,1,2,1,5,12,2002,8050270,0,0,1
136,3,885,1,1,3,2,0,1,1,6,32,1981,7194600,0,1,0
137,5,1688,2,1,4,3,1,3,3,6,15,1994,11412700,0,1,0
138,2,1236,2,2,4,2,0,1,3,1,37,1970,12035355,1,0,0
139,1,926,1,1,3,2,0,1,3,5,20,1991,6877000,0,1,0
140,5,1686,2,1,4,3,0,2,2,6,24,1985,10346400,0,0,1
141,1,1344,2,2,4,5,0,3,3,4,50,1959,10809500,1,0,0
142,5,1437,2,1,4,2,0,4,3,6,23,1989,10200600,0,0,1
143,1,1430,2,2,4,3,1,3,1,1,10,1999,6635750,0,0,1
144,2,1081,1,1,3,2,0,4,1,2,30,1978,6190150,0,1,0
145,1,1352,2,2,4,4,1,1,3,1,27,1983,6507250,0,1,0
146,5,1986,3,2,5,4,0,4,3,6,30,1979,11350400,0,1,0
147,6,1758,1,1,4,1,1,4,1,5,42,1966,19285540,1,0,0
148,1,607,1,1,2,4,0,2,3,5,46,1964,5856625,0,0,1
149,5,2139,3,2,5,4,1,3,2,5,21,1987,12472000,0,0,1
150,5,1488,2,1,4,1,0,4,2,4,27,1983,8441900,0,0,1
151,4,1645,2,1,4,1,0,2,1,4,26,1980,7579320,0,1,0
152,3,950,1,1,3,4,1,2,3,5,26,1983,9759000,0,0,1
153,3,928,1,1,3,1,1,4,3,4,4,2010,12423800,1,0,0
154,4,1693,2,1,4,4,1,3,2,6,53,1955,15495760,1,0,0
155,4,1873,3,2,5,2,1,1,1,5,21,1986,11022270,0,0,1
156,2,721,1,1,2,1,0,2,2,5,10,2000,7605550,0,0,1
157,1,1190,1,1,3,2,1,3,3,4,29,1982,7967750,0,1,0
158,5,1593,2,1,4,1,0,4,2,4,17,1994,8946800,0,0,1
159,3,786,1,1,2,3,1,1,3,5,12,1998,9244820,0,0,1
160,3,1195,1,1,3,5,0,2,2,5,19,1992,9821600,0,0,1
161,4,1824,3,2,5,4,0,3,2,3,33,1976,8549060,0,1,0
162,5,1906,3,2,5,3,1,2,2,4,7,2001,15852740,1,0,0
163,2,656,1,1,2,3,0,4,2,3,9,2001,8757635,1,0,0
164,3,727,1,1,2,3,0,1,3,6,16,1991,8415990,0,0,1
165,2,931,1,1,3,2,1,1,2,6,33,1977,9935595,0,0,1
166,4,1898,3,2,5,5,1,1,1,6,38,1969,16617860,1,0,0
167,6,1698,1,1,4,2,0,2,3,6,40,1967,12412050,0,1,0
168,7,1926,2,1,5,5,1,3,1,6,17,1990,22630540,1,0,0
169,1,1481,2,2,4,1,1,4,2,1,38,1972,9901500,1,0,0
170,6,1506,1,1,4,2,0,1,1,6,33,1974,10449910,0,1,0
171,3,1020,1,1,3,2,0,2,1,6,24,1990,7948600,0,1,0
172,3,889,1,1,3,3,0,1,3,6,21,1987,9098680,0,0,1
173,3,1015,1,1,3,2,1,4,2,4,35,1977,8342850,0,1,0
174,7,1682,1,1,4,3,0,4,3,4,35,1976,18662350,1,0,0
175,3,869,1,1,3,2,0,3,1,6,18,1995,8172630,0,0,1
176,1,1445,2,2,4,2,0,2,1,3,24,1988,5856500,0,1,0
177,6,1919,2,1,5,1,1,2,3,6,13,2001,14704160,0,1,0
178,2,1243,2,2,4,4,1,2,2,2,36,1975,13360440,1,0,0
179,1,857,1,1,2,4,0,1,2,3,17,1993,4928250,0,1,0
180,1,1055,1,1,3,5,1,2,3,3,48,1962,7315125,0,0,1
181,5,1778,3,2,5,2,0,3,3,5,8,2003,10998320,0,0,1
182,1,851,1,1,2,5,0,1,2,1,41,1970,3936375,0,0,1
183,3,1021,1,1,3,1,1,3,1,5,4,2004,9201770,0,0,1
184,5,2203,3,2,5,3,1,3,2,5,22,1988,17891240,1,0,0
185,1,613,1,1,2,2,0,3,1,3,30,1980,5144500,1,0,0
186,2,738,1,1,2,1,0,3,1,3,18,1989,8312670,1,0,0
187,1,1489,2,2,4,5,0,1,3,4,29,1982,8007250,0,1,0
188,1,795,1,1,2,3,1,3,3,6,9,2000,8479250,0,1,0
189,4,1909,3,2,5,2,1,4,3,1,33,1979,10129160,0,0,1
190,3,1252,2,1,4,2,0,4,1,6,12,1999,9482200,0,1,0
191,1,1077,1,1,3,3,0,1,2,6,33,1978,9846750,1,0,0
192,5,1524,2,1,4,4,0,3,2,4,27,1981,8675820,0,0,1
193,3,1049,1,1,3,1,1,1,3,6,11,1997,10262450,0,1,0
194,4,1780,2,1,4,3,0,4,3,2,55,1953,8671050,0,0,1
195,3,946,1,1,3,5,0,1,1,5,17,1991,11165550,1,0,0
196,3,906,1,1,3,1,1,3,3,6,32,1976,9464800,0,1,0
197,5,2344,4,2,6,3,0,2,3,6,24,1986,18849880,1,0,0
198,2,929,1,1,3,5,1,2,2,4,15,1994,9480425,0,0,1
199,6,1843,2,1,5,5,0,1,1,5,15,1994,12264750,0,1,0
200,6,1918,2,1,5,1,1,4,3,5,35,1974,21875050,1,0,0
201,5,1507,2,1,4,4,1,4,2,4,19,1989,13538580,1,0,0
202,5,1499,2,1,4,2,0,4,3,4,6,2005,8876320,0,1,0
203,5,1526,2,1,4,4,1,4,2,4,22,1990,13645040,1,0,0
204,6,1855,2,1,5,3,1,3,2,4,10,1999,20996200,1,0,0
205,1,1627,2,2,4,4,1,1,2,4,30,1981,9071125,0,0,1
206,4,1846,3,2,5,3,0,4,3,6,39,1970,10815830,0,1,0
207,5,2019,3,2,5,3,1,3,2,6,16,1994,12802500,0,0,1
208,1,1578,2,2,4,4,1,4,3,3,13,1998,9532500,0,0,1
209,4,1780,2,1,4,2,1,2,1,2,25,1983,13346700,1,0,0
210,1,662,1,1,2,1,0,2,1,2,38,1973,4356500,1,0,0
211,3,1005,1,1,3,2,0,3,3,5,26,1984,12257100,1,0,0
212,1,839,1,1,2,1,0,2,2,2,20,1990,4100500,0,1,0
213,6,1698,1,1,4,1,0,4,1,6,34,1974,11527430,0,1,0
214,2,878,1,1,3,1,1,3,2,1,19,1989,6452785,0,1,0
215,3,835,1,1,3,1,1,1,2,6,37,1971,8434750,0,1,0
216,3,911,1,1,3,1,1,1,1,4,33,1978,7427820,0,0,1
217,4,1796,2,1,4,5,1,1,1,4,50,1956,9105350,0,1,0
218,1,1004,1,1,3,5,0,1,1,2,28,1981,4721500,0,0,1
219,6,1694,1,1,4,4,0,2,2,5,27,1982,12575010,0,0,1
220,1,1244,1,1,3,3,1,4,3,3,31,1980,7952750,0,0,1
221,1,588,1,1,2,1,0,4,2,5,24,1986,5705500,0,0,1
222,5,2342,4,2,6,5,1,3,2,5,7,2004,12898740,0,1,0
223,4,1835,3,2,5,4,0,4,2,5,29,1978,10722580,0,0,1
224,6,1977,2,1,5,1,1,4,3,5,43,1964,14102960,0,1,0
225,5,1961,3,2,5,3,1,2,3,6,15,1996,17612900,1,0,0
226,4,1517,2,1,4,4,1,3,1,1,12,1992,7146890,0,1,0
227,5,2409,4,2,6,1,1,2,3,5,25,1984,13476480,0,0,1
228,4,1864,3,2,5,1,0,1,3,4,23,1982,15100560,1,0,0
229,4,1643,2,1,4,2,1,4,2,6,31,1977,15599020,1,0,0
230,2,1015,1,1,3,2,1,3,1,2,8,2004,11224620,1,0,0
231,6,1700,1,1,4,4,1,3,1,4,32,1977,12477040,0,0,1
232,1,624,1,1,2,2,0,1,1,2,31,1979,4396250,1,0,0
233,3,980,1,1,3,4,0,3,2,5,17,1991,11900750,1,0,0
234,1,1003,1,1,3,3,1,2,3,4,20,1990,10090000,1,0,0
235,2,1072,1,1,3,2,1,2,1,1,6,2003,6607690,0,1,0
236,1,808,1,1,2,5,0,2,3,2,35,1975,4752250,0,1,0
237,3,1027,1,1,3,4,0,1,2,4,21,1990,7441350,0,1,0
238,1,696,1,1,2,4,0,2,3,5,11,1999,6441250,0,1,0
239,4,1716,2,1,4,2,1,1,2,5,8,2002,10359860,0,1,0
240,4,1878,3,2,5,2,0,4,2,2,6,2005,14328720,1,0,0
241,5,1699,2,1,4,4,1,2,3,5,16,1995,11444100,0,0,1
242,5,1626,2,1,4,3,0,4,2,6,24,1988,9680280,0,1,0
243,5,1730,2,1,4,4,0,3,3,5,18,1990,14739360,1,0,0
244,3,996,1,1,3,2,0,1,3,5,22,1985,8939620,0,0,1
245,3,1277,2,1,4,5,1,4,1,6,16,1998,15710400,1,0,0
246,3,906,1,1,3,4,0,2,2,4,32,1981,10226600,1,0,0
247,6,1976,2,1,5,1,0,2,2,5,39,1972,12300050,0,1,0
248,4,1776,2,1,4,4,1,2,2,4,21,1989,9989170,0,1,0
249,1,1402,2,2,4,4,0,2,3,3,30,1981,6966500,0,1,0
250,3,1160,1,1,3,5,1,4,1,4,30,1978,9463900,0,0,1
251,4,1957,3,2,5,4,1,1,1,3,25,1981,15199450,1,0,0
252,7,1887,2,1,5,5,0,3,1,5,20,1992,20499450,1,0,0
253,4,1859,3,2,5,4,1,1,2,4,48,1960,9925210,0,1,0
254,3,747,1,1,2,2,1,4,1,6,5,2001,11223550,1,0,0
255,2,985,1,1,3,1,1,2,2,2,7,2002,7379505,0,1,0
256,3,1024,1,1,3,4,1,4,1,4,16,1996,12091400,1,0,0
257,4,1600,2,1,4,2,1,1,2,5,25,1984,10530200,0,0,1
258,3,1276,2,1,4,4,0,2,2,5,36,1977,9604120,0,0,1
259,3,1159,1,1,3,2,1,1,3,4,36,1974,9062800,0,1,0
260,1,1024,1,1,3,3,1,2,1,2,50,1962,4748500,0,1,0
261,2,1249,2,2,4,5,0,3,2,1,19,1991,12642285,1,0,0
262,3,839,1,1,3,4,1,4,3,4,16,1994,9107430,0,0,1
263,3,1286,2,1,4,3,0,4,1,6,34,1973,9153300,0,1,0
264,5,2467,4,2,6,5,0,4,3,5,16,1995,12650920,0,1,0
265,1,653,1,1,2,5,0,1,1,6,15,1995,7635250,1,0,0
266,1,606,1,1,2,2,1,2,3,6,17,1993,7854000,0,0,1
267,7,1837,2,1,5,5,1,1,1,5,29,1978,13197230,0,1,0
268,4,1880,3,2,5,2,1,2,1,2,46,1965,13669670,1,0,0
269,5,2189,3,2,5,5,1,4,3,4,23,1988,18249860,1,0,0
270,4,1853,3,2,5,5,1,3,2,2,49,1958,14707330,1,0,0
271,3,1057,1,1,3,4,0,4,2,5,17,1997,9144840,0,0,1
272,2,723,1,1,2,2,0,1,3,6,28,1979,10969920,1,0,0
273,7,1812,2,1,5,2,0,1,1,5,44,1966,12248640,0,0,1
274,7,1788,1,1,4,5,1,1,1,5,17,1991,14225180,0,0,1
275,4,1615,2,1,4,3,0,1,2,3,19,1985,8019280,0,1,0
276,6,1755,1,1,4,5,0,3,1,5,43,1971,11410310,0,1,0
277,2,1296,2,2,4,2,0,4,1,6,20,1988,9950600,0,1,0
278,5,1554,2,1,4,3,1,2,2,5,6,2004,9980320,0,1,0
279,6,1737,1,1,4,5,1,4,3,5,9,2005,14292780,0,1,0
280,1,785,1,1,2,2,1,4,1,3,12,1997,5752875,0,0,1
281,1,1678,2,2,4,1,1,2,3,2,35,1976,11883250,1,0,0
282,5,2360,4,2,6,4,1,3,2,6,9,2002,19816180,1,0,0
283,5,1464,2,1,4,2,1,3,2,4,28,1982,9394640,0,0,1
284,5,1632,2,1,4,1,1,4,3,4,19,1992,10506420,0,0,1
285,4,1755,2,1,4,3,1,1,1,2,26,1980,8762820,0,0,1
286,4,1556,2,1,4,1,0,2,2,5,20,1989,9348100,0,0,1
287,2,1170,1,1,3,5,0,2,3,4,36,1975,9134740,0,1,0
288,2,901,1,1,3,1,0,4,3,3,37,1969,7643255,0,0,1
289,1,1160,1,1,3,1,1,2,3,1,19,1990,8886250,1,0,0
290,1,1570,2,2,4,2,1,3,1,1,8,2002,6407000,0,1,0
291,1,1476,2,2,4,3,0,3,2,5,32,1979,11536000,1,0,0
292,1,586,1,1,2,2,1,1,2,3,19,1993,5333000,0,0,1
293,1,1059,1,1,3,4,1,4,2,5,33,1977,7849250,0,1,0
294,7,1712,1,1,4,3,1,3,3,5,6,2005,13797720,0,1,0
295,2,847,1,1,3,1,0,2,3,4,39,1968,7492300,0,0,1
296,1,1192,1,1,3,2,0,3,1,3,23,1988,5342250,0,1,0
297,4,1942,3,2,5,1,1,4,1,5,25,1981,16212650,1,0,0
298,1,557,1,1,2,2,1,1,1,3,17,1992,4710125,0,0,1
299,4,1728,2,1,4,4,1,1,3,3,19,1990,14898480,1,0,0
300,4,1798,2,1,4,2,1,4,3,6,29,1979,17060380,1,0,0
301,1,1497,2,2,4,1,1,4,3,1,35,1976,6931750,0,1,0
302,3,1173,1,1,3,4,1,2,1,4,32,1977,8196400,0,1,0
303,6,1640,1,1,4,1,1,3,1,4,36,1977,17704670,1,0,0
304,5,1747,2,1,4,1,1,2,2,5,17,1992,10784680,0,0,1
305,1,1342,2,2,4,3,1,1,1,3,43,1967,9594250,1,0,0
306,7,2000,2,1,5,5,0,3,1,6,27,1980,13596890,0,1,0
307,4,1987,3,2,5,2,0,2,3,4,11,1995,11156320,0,0,1
308,1,1567,2,2,4,2,0,4,3,2,17,1992,7725875,0,0,1
309,1,1188,1,1,3,1,0,4,1,6,34,1977,9819500,1,0,0
310,2,737,1,1,2,2,0,3,1,1,32,1978,3869180,0,1,0
311,1,785,1,1,2,5,1,2,2,2,13,1997,5852625,0,0,1
312,5,2078,3,2,5,3,0,2,2,4,21,1990,9696820,0,1,0
313,2,647,1,1,2,2,1,4,1,4,10,1997,9574550,1,0,0
314,1,1171,1,1,3,5,1,4,1,1,16,1993,6102625,0,0,1
315,5,2435,4,2,6,1,1,3,3,6,18,1991,20246360,1,0,0
316,4,1805,3,2,5,5,1,4,2,5,16,1990,16930470,1,0,0
317,1,1145,1,1,3,4,0,4,3,1,17,1992,5510250,0,1,0
318,1,971,1,1,3,4,0,4,2,5,28,1983,6530500,0,1,0
319,1,1657,2,2,4,3,1,2,3,5,39,1970,10147125,0,0,1
320,4,1638,2,1,4,5,1,3,1,4,5,2002,9705900,0,1,0
321,2,1284,2,2,4,4,1,1,2,5,5,2005,16107475,1,0,0
322,2,1273,2,2,4,3,0,1,1,1,6,2005,7451690,0,0,1
323,3,1185,1,1,3,4,1,1,3,5,20,1993,10163000,0,1,0
324,7,1538,1,1,4,2,1,3,3,5,5,2004,19376950,1,0,0
325,5,1929,3,2,5,4,0,4,2,4,30,1978,10173980,0,0,1
326,5,1656,2,1,4,3,1,3,2,6,15,1996,10910100,0,1,0
327,2,1287,2,2,4,2,1,2,3,3,15,1995,15013625,1,0,0
328,7,1749,1,1,4,3,0,2,1,4,32,1979,11713410,0,0,1
329,6,1585,1,1,4,2,0,4,1,5,17,1995,17382790,1,0,0
330,7,1962,2,1,5,4,1,3,2,6,34,1977,15862990,0,0,1
331,5,1425,2,1,4,4,0,3,2,5,14,1995,8677280,0,1,0
332,1,884,1,1,2,4,1,3,2,3,26,1984,8282500,1,0,0
333,3,1052,1,1,3,4,0,3,1,4,10,2004,7926740,0,0,1
334,7,1756,1,1,4,1,0,2,3,5,31,1983,12093570,0,1,0
335,1,523,1,1,2,3,1,4,3,6,38,1973,7390000,0,1,0
336,4,1524,2,1,4,2,1,3,2,6,22,1988,11053290,0,0,1
337,7,1949,2,1,5,1,1,3,1,6,43,1970,14464930,0,0,1
338,3,1263,2,1,4,5,0,2,3,5,22,1988,10637010,0,0,1
339,5,1917,3,2,5,2,1,4,2,5,18,1991,11045960,0,1,0
340,5,1401,2,1,4,1,0,2,2,4,20,1989,7410200,0,1,0
341,3,723,1,1,2,2,0,4,3,6,17,1998,8645860,0,0,1
342,7,1660,1,1,4,4,0,2,2,4,37,1971,17787740,1,0,0
343,3,895,1,1,3,1,1,1,3,4,5,2007,8514750,0,1,0
344,6,1889,2,1,5,1,1,1,3,6,45,1964,13841050,0,1,0
345,3,1199,1,1,3,5,0,3,2,4,25,1985,9160580,0,0,1
346,1,782,1,1,2,5,1,4,1,3,14,1998,7794500,1,0,0
347,6,1571,1,1,4,1,1,3,2,5,25,1987,12946530,0,0,1
348,5,1848,3,2,5,4,1,3,2,5,24,1987,15883280,1,0,0
349,3,1131,1,1,3,5,1,3,1,5,20,1990,10089670,0,0,1
350,1,1062,1,1,3,5,1,4,1,1,21,1991,5335750,0,1,0
351,5,1983,3,2,5,5,1,4,2,6,24,1986,12126880,0,1,0
352,4,1572,2,1,4,5,0,3,3,2,20,1987,8165450,0,1,0
353,6,1535,1,1,4,2,0,1,3,4,32,1975,11484740,0,0,1
354,7,1818,2,1,5,4,1,2,3,6,32,1975,22024740,1,0,0
355,5,1484,2,1,4,1,1,3,3,4,27,1984,9771020,0,0,1
356,5,2189,3,2,5,5,0,3,3,4,15,1994,12071880,0,0,1
357,3,1203,2,1,4,1,0,4,1,5,17,1997,12925550,1,0,0
358,5,1610,2,1,4,1,1,4,3,6,24,1985,15387480,1,0,0
359,2,863,1,1,3,3,1,2,2,1,7,2003,6637005,0,1,0
360,1,985,1,1,3,1,0,4,3,5,20,1991,7446875,0,0,1
361,1,1623,2,2,4,3,0,4,2,4,38,1974,11658500,1,0,0
362,2,1019,1,1,3,1,0,1,3,2,29,1981,6663435,0,1,0
